           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
 4282978.261256 [0006]  <idle>                              0.125      0.000     10.630 
 4282978.261267 [0006]  bash[27105]                        30.877      0.031      0.010 
 4282978.261319 [0007]  tmux: client[27110]                 2.974      0.029      0.133 
 4282978.261348 [0000]  <idle>                              0.084      0.000      1.187 
 4282978.261461 [0006]  <idle>                              0.010      0.000      0.193 
 4282978.261466 [0000]  bash[27107]                        30.714      0.030      0.117 
 4282978.261469 [0000]  <idle>                              0.117      0.000      0.003 
 4282978.261474 [0000]  kworker/0:0[20729]                 11.132      0.000      0.004 
 4282978.261559 [0007]  <idle>                              0.133      0.000      0.239 
 4282978.261569 [0007]  bash[27072]                        31.381      0.031      0.010 
 4282978.261601 [0006]  bash[27105]                         0.193      0.001      0.140 
 4282978.261625 [0007]  <idle>                              0.010      0.000      0.056 
 4282978.261749 [0007]  bash[27072]                         0.056      0.028      0.124 
 4282978.261763 [0005]  <idle>                              0.063      0.000      2.595 
 4282978.261948 [0005]  bash[27216]                         0.000      0.029      0.185 
 4282978.261963 [0008]  <idle>                              0.005      0.000     16.074 
 4282978.262138 [0008]  bash[27217]                         0.000      0.029      0.174 
 4282978.262408 [0004]  <idle>                              0.105      0.000      6.869 
 4282978.262422 [0011]  <idle>                              0.089      0.000      2.458 
 4282978.262460 [0005]  <idle>                              0.185      0.000      0.511 
 4282978.262478 [0005]  bash[27129]                        28.160      0.001      0.018 
 4282978.262495 [0004]  tmux: client[27180]                14.824      0.030      0.087 
 4282978.262546 [0005]  bash[27218]                         0.000      0.369      0.067 
 4282978.262552 [0005]  migration/5[39]                     3.378      0.001      0.006 
 4282978.262578 [0002]  <idle>                              0.005      0.000      4.067 
 4282978.262580 [0011]  tmux: client[27132]                 2.458      0.041      0.157 
 4282978.262580 [0008]  <idle>                              0.174      0.000      0.442 
 4282978.262730 [0008]  bash[27130]                        28.082      0.001      0.149 
 4282978.262747 [0005]  <idle>                              0.092      0.000      0.194 
 4282978.262825 [0010]  <idle>                              0.013      0.000      4.116 
 4282978.262828 [0010]  rcu_sched[8]                        8.030      0.003      0.003 
 4282978.262880 [0001]  <idle>                              0.784      0.000      2.899 
 4282978.262890 [0001]  bash[27085]                        28.775      0.027      0.009 
 4282978.262976 [0005]  bash[27129]                         0.268      0.024      0.228 
 4282978.262979 [0001]  <idle>                              0.009      0.000      0.088 
 4282978.263132 [0006]  <idle>                              0.140      0.000      1.530 
 4282978.263132 [0001]  bash[27085]                         0.088      0.022      0.153 
 4282978.263320 [0000]  <idle>                              0.004      0.000      1.846 
 4282978.263338 [0006]  bash[27219]                         0.000      0.031      0.205 
 4282978.263498 [0000]  bash[27220]                         0.000      0.002      0.177 
 4282978.263529 [0002]  tmux: client[27218]                 0.032      0.000      0.950 
 4282978.263550 [0000]  bash[27221]                         0.000      0.032      0.051 
 4282978.263555 [0000]  migration/0[10]                    32.692      0.001      0.005 
 4282978.263585 [0010]  <idle>                              0.003      0.000      0.756 
 4282978.264373 [0010]  tmux: client[27221]                 0.034      0.000      0.788 
 4282978.264914 [0002]  <idle>                              0.950      0.000      1.385 
 4282978.264928 [0002]  fzf[21312/21277]                   99.128      0.001      0.013 
 4282978.265538 [0010]  tmux: server[27222]                 0.000      0.141      1.164 
 4282978.265544 [0010]  migration/10[69]                   26.370      0.001      0.005 
 4282978.265571 [0011]  <idle>                              0.157      0.000      2.990 
 4282978.265867 [0001]  <idle>                              0.153      0.000      2.734 
 4282978.265874 [0001]  fzf[21278/21277]                   90.151      0.001      0.006 
 4282978.265955 [0001]  <idle>                              0.006      0.000      0.080 
 4282978.266000 [0002]  <idle>                              0.013      0.000      1.071 
 4282978.266013 [0002]  fzf[21312/21277]                    1.071      0.001      0.013 
 4282978.266037 [0004]  <idle>                              0.087      0.000      3.541 
 4282978.266038 [0001]  docker-compose[12141]             100.043      0.000      0.083 
 4282978.266044 [0004]  fzf[21286/21277]                  100.212      0.029      0.007 
 4282978.267742 [0005]  <idle>                              0.228      0.000      4.766 
 4282978.267754 [0011]  sh[27222]                           0.032      0.000      2.182 
 4282978.267808 [0005]  sh[27224]                           0.000      0.002      0.066 
 4282978.267816 [0005]  migration/5[39]                     5.255      0.001      0.008 
 4282978.267843 [0008]  <idle>                              0.149      0.000      5.112 
 4282978.268139 [0011]  <idle>                              2.182      0.000      0.385 
 4282978.268155 [0011]  sh[27222]                           0.385      0.002      0.015 
 4282978.268177 [0011]  <idle>                              0.015      0.000      0.021 
 4282978.268177 [0008]  uname[27224]                        0.034      0.000      0.334 
 4282978.268180 [0008]  <idle>                              0.334      0.000      0.003 
 4282978.268186 [0008]  kworker/8:2[21666]                 22.292      0.000      0.005 
 4282978.268240 [0011]  sh[27222]                           0.021      0.001      0.063 
 4282978.268598 [0002]  <idle>                              0.013      0.000      2.584 
 4282978.268607 [0002]  fzf[5656/5655]                     10.086      0.001      0.008 
 4282978.270770 [0005]  sh[27223]                           0.000      0.441      2.953 
 4282978.270831 [0005]  sh[27225]                           0.000      0.014      0.060 
 4282978.270835 [0011]  <idle>                              0.063      0.000      2.595 
 4282978.270837 [0005]  migration/5[39]                     3.014      0.001      0.006 
 4282978.270837 [0010]  <idle>                              1.959      0.000      5.293 
 4282978.270841 [0010]  rcu_sched[8]                        8.009      0.003      0.003 
 4282978.271824 [0011]  bash[27225]                         0.004      0.000      0.988 
 4282978.271935 [0000]  <idle>                              0.234      0.000      8.380 
 4282978.271959 [0004]  <idle>                              0.007      0.000      5.914 
 4282978.272012 [0010]  <idle>                              0.003      0.000      1.171 
 4282978.272020 [0011]  bash[27226]                         0.000      0.018      0.196 
 4282978.272028 [0010]  bash[27150]                        33.075      0.001      0.015 
 4282978.272048 [0000]  tmux: client[27199]                19.730      0.029      0.112 
 4282978.272158 [0010]  <idle>                              0.015      0.000      0.130 
 4282978.272158 [0004]  tmux: client[27152]                11.797      0.029      0.199 
 4282978.272162 [0004]  <idle>                              0.199      0.000      0.003 
 4282978.272167 [0004]  kworker/4:3[19222]                 35.089      0.000      0.005 
 4282978.272225 [0008]  <idle>                              0.005      0.000      4.039 
 4282978.272255 [0011]  bash[27227]                         0.000      0.018      0.234 
 4282978.272329 [0010]  bash[27151]                        33.044      0.001      0.171 
 4282978.272332 [0010]  <idle>                              0.171      0.000      0.003 
 4282978.272332 [0011]  <idle>                              1.419      0.000      0.077 
 4282978.272336 [0010]  kworker/10:2[18659]                15.554      0.000      0.003 
 4282978.272441 [0004]  <idle>                              0.005      0.000      0.273 
 4282978.272450 [0004]  bash[27100]                        33.724      0.023      0.009 
 4282978.272544 [0011]  bash[27150]                         0.304      0.023      0.211 
 4282978.272547 [0004]  <idle>                              0.009      0.000      0.097 
 4282978.272682 [0011]  <idle>                              0.211      0.000      0.137 
 4282978.272688 [0011]  bash[27226]                         0.661      0.022      0.006 
 4282978.272702 [0004]  bash[27100]                         0.097      0.023      0.154 
 4282978.272712 [0008]  dirname[27228]                      0.000      0.025      0.487 
 4282978.272716 [0000]  <idle>                              0.112      0.000      0.668 
 4282978.272736 [0008]  <idle>                              0.487      0.000      0.023 
 4282978.272739 [0008]  kworker/8:2[21666]                  4.550      0.000      0.003 
 4282978.272763 [0011]  <idle>                              0.006      0.000      0.074 
 4282978.272879 [0011]  bash[27227]                         0.508      0.051      0.116 
 4282978.272882 [0001]  <idle>                              0.083      0.000      6.843 
 4282978.272976 [0011]  <idle>                              0.116      0.000      0.097 
 4282978.272988 [0011]  bash[27225]                         1.152      0.022      0.012 
 4282978.272999 [0000]  bash[27229]                         0.000      0.029      0.283 
 4282978.273066 [0001]  bash[27226]                         0.193      0.023      0.184 
 4282978.273069 [0002]  <idle>                              0.008      0.000      4.462 
 4282978.273208 [0011]  bash[27230]                         0.000      0.005      0.219 
 4282978.273257 [0011]  bash[27234]                         0.000      0.027      0.048 
 4282978.273261 [0011]  migration/11[75]                   21.909      0.001      0.004 
 4282978.273283 [0010]  <idle>                              0.003      0.000      0.947 
 4282978.273669 [0002]  bash[27225]                         0.080      0.023      0.600 
 4282978.273729 [0002]  bash[27235]                         0.000      0.031      0.060 
 4282978.273736 [0002]  migration/2[21]                    37.244      0.001      0.006 
 4282978.274029 [0002]  check_tmux_vers[27235]              0.006      0.000      0.293 
 4282978.274035 [0002]  migration/2[21]                     0.293      0.001      0.006 
 4282978.274132 [0010]  tmux: client[27234]                 0.026      0.000      0.848 
 4282978.274768 [0002]  bash[27235]                         0.006      0.000      0.732 
 4282978.274828 [0010]  <idle>                              0.848      0.000      0.695 
 4282978.274831 [0010]  rcu_sched[8]                        3.986      0.040      0.003 
 4282978.274994 [0002]  bash[27236]                         0.000      0.018      0.226 
 4282978.275180 [0001]  <idle>                              0.184      0.000      2.114 
 4282978.275212 [0002]  bash[27238]                         0.000      0.017      0.217 
 4282978.275301 [0001]  bash[27240]                         0.000      0.023      0.121 
 4282978.275307 [0001]  migration/1[15]                    43.514      0.001      0.005 
 4282978.275334 [0010]  <idle>                              0.003      0.000      0.502 
 4282978.275347 [0004]  <idle>                              0.154      0.000      2.644 
 4282978.275366 [0005]  <idle>                              3.095      0.000      4.528 
 4282978.275366 [0002]  bash[27239]                         0.000      0.106      0.154 
 4282978.275373 [0005]  bash[27238]                         0.154      0.001      0.006 
 4282978.275416 [0005]  <idle>                              0.006      0.000      0.043 
 4282978.275425 [0005]  bash[27175]                        29.032      0.000      0.008 
 4282978.275572 [0005]  <idle>                              0.008      0.000      0.147 
 4282978.275573 [0004]  tmux: client[27180]                12.851      0.001      0.226 
 4282978.275690 [0005]  bash[27178]                        29.011      0.000      0.117 
 4282978.275715 [0000]  <idle>                              0.283      0.000      2.715 
 4282978.275715 [0006]  <idle>                              0.205      0.000     12.376 
 4282978.275737 [0002]  <idle>                              2.297      0.000      0.370 
 4282978.275744 [0002]  bash[27236]                         0.742      0.029      0.007 
 4282978.275748 [0005]  <idle>                              0.117      0.000      0.058 
 4282978.275748 [0010]  tr[27240]                           0.032      0.000      0.414 
 4282978.275751 [0010]  <idle>                              0.414      0.000      0.002 
 4282978.275753 [0010]  kworker/10:2[18659]                 3.414      0.000      0.002 
 4282978.275798 [0002]  <idle>                              0.007      0.000      0.054 
 4282978.275808 [0002]  bash[27197]                        24.939      0.030      0.009 
 4282978.275828 [0005]  bash[27238]                         0.374      0.001      0.079 
 4282978.275830 [0005]  <idle>                              0.079      0.000      0.002 
 4282978.275834 [0004]  <idle>                              0.226      0.000      0.260 
 4282978.275836 [0005]  kworker/5:1[30247]                 20.413      0.000      0.005 
 4282978.275844 [0004]  bash[27136]                        29.646      0.028      0.010 
 4282978.275864 [0002]  <idle>                              0.009      0.000      0.056 
 4282978.275906 [0000]  tmux: client[27199]                 3.666      0.030      0.191 
 4282978.275907 [0009]  <idle>                              0.217      0.000     16.805 
 4282978.275910 [0006]  bash[27175]                         0.290      0.030      0.195 
 4282978.275910 [0005]  <idle>                              0.005      0.000      0.074 
 4282978.275916 [0005]  bash[27235]                         1.142      0.001      0.005 
 4282978.275934 [0004]  <idle>                              0.010      0.000      0.090 
 4282978.275948 [0001]  <idle>                              0.126      0.000      0.641 
 4282978.275958 [0001]  fzf[21278/21277]                   10.074      0.001      0.009 
 4282978.275973 [0005]  <idle>                              0.005      0.000      0.056 
 4282978.275977 [0002]  bash[27236]                         0.120      0.040      0.113 
 4282978.276062 [0005]  bash[27235]                         0.056      0.000      0.089 
 4282978.276064 [0004]  bash[27136]                         0.090      0.029      0.129 
 4282978.276073 [0009]  bash[27198]                        24.850      0.002      0.166 
 4282978.276078 [0001]  <idle>                              0.009      0.000      0.120 
 4282978.276095 [0002]  <idle>                              0.113      0.000      0.117 
 4282978.276191 [0006]  <idle>                              0.195      0.000      0.281 
 4282978.276201 [0006]  bash[27161]                        25.565      0.028      0.010 
 4282978.276236 [0009]  <idle>                              0.166      0.000      0.162 
 4282978.276246 [0002]  bash[27197]                         0.287      0.031      0.150 
 4282978.276250 [0001]  bash[27243]                         0.000      0.029      0.171 
 4282978.276250 [0004]  bash[27241]                         0.000      0.019      0.185 
 4282978.276252 [0002]  bash[27245]                         0.000      0.011      0.005 
 4282978.276255 [0002]  kworker/2:2[18313]                 17.882      0.001      0.003 
 4282978.276274 [0006]  <idle>                              0.010      0.000      0.072 
 4282978.276406 [0006]  bash[27161]                         0.072      0.037      0.131 
 4282978.276436 [0002]  bash[27245]                         0.003      0.000      0.180 
 4282978.276450 [0001]  <idle>                              0.171      0.000      0.200 
 4282978.276460 [0009]  bash[27244]                         0.000      0.002      0.224 
 4282978.276494 [0002]  bash[27249]                         0.000      0.030      0.058 
 4282978.276498 [0008]  <idle>                              0.003      0.000      3.759 
 4282978.276499 [0002]  migration/2[21]                     2.458      0.001      0.005 
 4282978.276529 [0009]  bash[27250]                         0.000      0.036      0.068 
 4282978.276534 [0011]  <idle>                              0.284      0.000      3.272 
 4282978.276535 [0009]  migration/9[63]                    20.442      0.001      0.006 
 4282978.276543 [0001]  tmux: client[27215]                16.469      0.028      0.093 
 4282978.276576 [0009]  <idle>                              0.299      0.000      0.040 
 4282978.276589 [0006]  bash[27248]                         0.000      0.021      0.183 
 4282978.276811 [0009]  bash[27252]                         0.000      0.002      0.235 
 4282978.276884 [0009]  bash[27253]                         0.000      0.042      0.072 
 4282978.276891 [0009]  migration/9[63]                     0.348      0.001      0.006 
 4282978.277172 [0001]  <idle>                              0.093      0.000      0.628 
 4282978.277181 [0001]  bash[27243]                         0.922      0.028      0.008 
 4282978.277202 [0011]  tmux[27250]                         0.005      0.000      0.668 
 4282978.277233 [0000]  <idle>                              0.191      0.000      1.326 
 4282978.277316 [0008]  tmux: client[27249]                 0.004      0.000      0.817 
 4282978.277325 [0000]  bash[27244]                         0.772      0.031      0.092 
 4282978.277342 [0001]  <idle>                              0.008      0.000      0.160 
 4282978.277440 [0001]  bash[27243]                         0.160      0.021      0.098 
 4282978.277622 [0001]  bash[27254]                         0.000      0.014      0.181 
 4282978.277635 [0008]  <idle>                              0.817      0.000      0.318 
 4282978.277837 [0008]  bash[27255]                         0.000      0.029      0.202 
 4282978.277846 [0006]  <idle>                              0.314      0.000      1.257 
 4282978.277957 [0006]  bash[27257]                         0.000      0.031      0.110 
 4282978.277962 [0000]  <idle>                              0.092      0.000      0.636 
 4282978.277967 [0006]  migration/6[45]                    32.478      0.001      0.010 
 4282978.278030 [0009]  tmux: client[27253]                 0.006      0.000      1.139 
 4282978.278165 [0006]  bash[27256]                         0.000      0.206      0.197 
 4282978.278191 [0008]  <idle>                              0.202      0.000      0.354 
 4282978.278197 [0008]  bash[27255]                         0.354      0.028      0.005 
 4282978.278348 [0001]  <idle>                              0.280      0.000      0.726 
 4282978.278355 [0001]  bash[27254]                         0.726      0.028      0.006 
 4282978.278358 [0000]  tr[27257]                           0.005      0.000      0.395 
 4282978.278360 [0000]  <idle>                              0.395      0.000      0.002 
 4282978.278364 [0000]  kworker/0:0[20729]                 16.886      0.000      0.004 
 4282978.278386 [0008]  <idle>                              0.005      0.000      0.188 
 4282978.278482 [0008]  bash[27255]                         0.188      0.029      0.096 
 4282978.278506 [0001]  <idle>                              0.006      0.000      0.151 
 4282978.278585 [0002]  <idle>                              0.403      0.000      2.086 
 4282978.278592 [0002]  bash[27243]                         1.144      0.025      0.007 
 4282978.278625 [0002]  <idle>                              0.007      0.000      0.032 
 4282978.278630 [0001]  bash[27254]                         0.151      0.028      0.124 
 4282978.278704 [0005]  <idle>                              0.089      0.000      2.642 
 4282978.278712 [0005]  bash[27235]                         2.642      0.034      0.007 
 4282978.278739 [0005]  <idle>                              0.007      0.000      0.027 
 4282978.278743 [0002]  bash[27243]                         0.032      0.000      0.117 
 4282978.278931 [0005]  bash[27235]                         0.027      0.000      0.192 
 4282978.278962 [0002]  <idle>                              0.117      0.000      0.219 
 4282978.278994 [0001]  <idle>                              0.124      0.000      0.364 
 4282978.279039 [0007]  <idle>                              0.124      0.000     17.289 
 4282978.279051 [0007]  bash[27213]                        20.144      0.001      0.012 
 4282978.279075 [0002]  bash[27225]                         5.293      0.032      0.112 
 4282978.279144 [0009]  <idle>                              1.454      0.000      1.114 
 4282978.279146 [0001]  tmux: client[27215]                 2.450      0.029      0.151 
 4282978.279265 [0002]  bash[27258]                         0.000      0.020      0.190 
 4282978.279314 [0009]  bash[27214]                        20.043      0.002      0.169 
 4282978.279336 [0007]  <idle>                              0.012      0.000      0.284 
 4282978.279403 [0011]  <idle>                              0.668      0.000      2.200 
 4282978.279413 [0011]  bash[27188]                        20.745      0.001      0.009 
 4282978.279425 [0001]  <idle>                              0.151      0.000      0.279 
 4282978.279449 [0002]  bash[27259]                         0.000      0.017      0.183 
 4282978.279507 [0011]  <idle>                              0.009      0.000      0.093 
 4282978.279513 [0007]  bash[27213]                         0.284      0.031      0.176 
 4282978.279628 [0011]  bash[27188]                         0.093      0.000      0.121 
 4282978.279645 [0000]  <idle>                              0.004      0.000      1.280 
 4282978.279840 [0000]  bash[27261]                         0.000      0.031      0.195 
 4282978.280010 [0000]  bash[27262]                         0.000      0.019      0.170 
 4282978.280012 [0010]  <idle>                              0.002      0.000      4.258 
 4282978.280275 [0001]  tmux: client[27260]                 0.000      0.002      0.849 
 4282978.280846 [0010]  tmux: client[27263]                 0.000      0.030      0.833 
 4282978.281356 [0002]  <idle>                              0.487      0.000      1.906 
 4282978.281443 [0002]  tmux: client[27218]                17.827      0.030      0.087 
 4282978.282831 [0010]  <idle>                              0.833      0.000      1.985 
 4282978.282835 [0010]  rcu_sched[8]                        8.000      0.003      0.004 
 4282978.283559 [0010]  <idle>                              0.004      0.000      0.723 
 4282978.283640 [0010]  tmux: client[27221]                19.185      0.031      0.081 
 4282978.284064 [0010]  <idle>                              0.081      0.000      0.423 
 4282978.284149 [0010]  tmux: client[27234]                 9.932      0.028      0.085 
 4282978.284731 [0002]  <idle>                              0.087      0.000      3.287 
 4282978.284768 [0005]  <idle>                              0.192      0.000      5.836 
 4282978.284779 [0005]  bash[27216]                        22.819      0.001      0.010 
 4282978.284861 [0008]  <idle>                              0.096      0.000      6.378 
 4282978.284861 [0002]  tmux: client[27218]                 3.287      0.028      0.130 
 4282978.284974 [0008]  bash[27217]                        22.722      0.001      0.113 
 4282978.285000 [0005]  <idle>                              0.010      0.000      0.221 
 4282978.285094 [0007]  <idle>                              0.176      0.000      5.580 
 4282978.285104 [0007]  bash[27072]                        23.344      0.026      0.010 
 4282978.285145 [0005]  bash[27216]                         0.221      0.030      0.145 
 4282978.285148 [0005]  <idle>                              0.145      0.000      0.002 
 4282978.285153 [0005]  kworker/5:1[30247]                  9.312      0.000      0.004 
 4282978.285169 [0007]  <idle>                              0.010      0.000      0.065 
 4282978.285268 [0007]  bash[27072]                         0.065      0.028      0.099 
 4282978.285459 [0007]  bash[27264]                         0.000      0.016      0.190 
 4282978.285628 [0007]  bash[27265]                         0.000      0.018      0.169 
 4282978.285630 [0011]  <idle>                              0.121      0.000      6.002 
 4282978.286321 [0010]  <idle>                              0.085      0.000      2.171 
 4282978.286386 [0006]  <idle>                              0.318      0.000      8.221 
 4282978.286398 [0006]  bash[27219]                        23.048      0.029      0.011 
 4282978.286458 [0010]  tmux: client[27221]                 2.681      0.028      0.136 
 4282978.286461 [0010]  <idle>                              0.136      0.000      0.002 
 4282978.286464 [0010]  kworker/10:2[18659]                10.707      0.000      0.003 
 4282978.286467 [0011]  tmux: client[27266]                 0.000      0.029      0.836 
 4282978.286482 [0000]  <idle>                              0.365      0.000      6.471 
 4282978.286592 [0006]  <idle>                              0.011      0.000      0.194 
 4282978.286597 [0000]  bash[27220]                        22.983      0.025      0.115 
 4282978.286685 [0001]  <idle>                              0.849      0.000      6.410 
 4282978.286697 [0001]  bash[27085]                        23.552      0.029      0.012 
 4282978.286724 [0001]  <idle>                              0.012      0.000      0.027 
 4282978.286728 [0006]  bash[27219]                         0.194      0.001      0.136 
 4282978.286826 [0008]  <idle>                              0.113      0.000      1.852 
 4282978.286834 [0001]  bash[27085]                         0.027      0.000      0.109 
 4282978.286834 [0008]  rcu_sched[8]                        3.990      0.002      0.008 
 4282978.287018 [0009]  <idle>                              0.169      0.000      7.703 
 4282978.287030 [0008]  bash[27267]                         0.000      0.020      0.195 
 4282978.287252 [0009]  bash[27268]                         0.000      0.002      0.234 
 4282978.287254 [0006]  <idle>                              0.136      0.000      0.525 
 4282978.288099 [0006]  tmux: client[27269]                 0.000      0.034      0.844 
 4282978.288169 [0008]  <idle>                              0.204      0.000      1.138 
 4282978.288251 [0008]  tmux: client[27249]                10.852      0.031      0.081 
 4282978.288610 [0010]  <idle>                              0.003      0.000      2.145 
 4282978.288681 [0000]  <idle>                              0.115      0.000      2.083 
 4282978.288692 [0000]  bash[27229]                        15.681      0.030      0.010 
 4282978.288745 [0010]  tmux: client[27234]                 4.460      0.028      0.135 
 4282978.288748 [0010]  <idle>                              0.135      0.000      0.002 
 4282978.288751 [0010]  kworker/10:2[18659]                 2.283      0.000      0.003 
 4282978.288774 [0011]  <idle>                              0.836      0.000      2.306 
 4282978.288890 [0011]  bash[27230]                        15.565      0.029      0.115 
 4282978.288913 [0000]  <idle>                              0.010      0.000      0.220 
 4282978.289008 [0004]  <idle>                              0.315      0.000     12.757 
 4282978.289018 [0004]  bash[27100]                        16.305      0.029      0.010 
 4282978.289055 [0000]  bash[27229]                         0.220      0.028      0.142 
 4282978.289079 [0004]  <idle>                              0.010      0.000      0.060 
 4282978.289188 [0004]  bash[27100]                         0.060      0.028      0.109 
 4282978.289380 [0004]  bash[27270]                         0.000      0.017      0.192 
 4282978.289394 [0005]  <idle>                              0.004      0.000      4.241 
 4282978.289573 [0005]  bash[27271]                         0.000      0.030      0.178 
 4282978.289575 [0001]  <idle>                              0.109      0.000      2.740 
 4282978.290259 [0009]  <idle>                              0.234      0.000      3.007 
 4282978.290367 [0009]  tmux: client[27253]                12.228      0.001      0.107 
 4282978.290404 [0001]  tmux: client[27272]                 0.000      0.026      0.829 
 4282978.290483 [0001]  <idle>                              0.829      0.000      0.078 
 4282978.290563 [0001]  tmux: client[27260]                10.208      0.029      0.080 
 4282978.290801 [0003]  tmux: server[21345]                 0.000      0.012     85.798 
 4282978.291189 [0003]  ksoftirqd/3[28]                     0.000      0.001      0.387 
 4282978.291988 [0008]  <idle>                              0.081      0.000      3.737 
 4282978.292057 [0004]  <idle>                              0.301      0.000      2.677 
 4282978.292069 [0004]  bash[27241]                        15.807      0.029      0.011 
 4282978.292124 [0008]  tmux: client[27249]                 3.737      0.029      0.135 
 4282978.292124 [0002]  <idle>                              0.130      0.000      7.263 
 4282978.292239 [0002]  bash[27245]                        15.688      0.001      0.114 
 4282978.292265 [0004]  <idle>                              0.011      0.000      0.195 
 4282978.292360 [0005]  <idle>                              0.178      0.000      2.787 
 4282978.292369 [0005]  bash[27136]                        16.295      0.029      0.009 
 4282978.292407 [0004]  bash[27241]                         0.195      0.031      0.142 
 4282978.292434 [0005]  <idle>                              0.009      0.000      0.064 
 4282978.292534 [0005]  bash[27136]                         0.064      0.032      0.099 
 4282978.292555 [0010]  <idle>                              0.003      0.000      3.803 
 4282978.292749 [0010]  bash[27273]                         0.000      0.035      0.194 
 4282978.292764 [0000]  <idle>                              0.142      0.000      3.709 
 4282978.292943 [0000]  bash[27274]                         0.000      0.029      0.179 
 4282978.292996 [0000]  bash[27275]                         0.000      0.030      0.052 
 4282978.293002 [0000]  migration/0[10]                    29.440      0.001      0.005 
 4282978.293029 [0008]  <idle>                              0.135      0.000      0.904 
 4282978.293101 [0009]  <idle>                              0.107      0.000      2.734 
 4282978.293111 [0010]  <idle>                              0.194      0.000      0.361 
 4282978.293171 [0006]  <idle>                              0.844      0.000      5.072 
 4282978.293181 [0006]  bash[27248]                        16.582      0.029      0.009 
 4282978.293193 [0010]  tmux: client[27263]                12.265      0.029      0.081 
 4282978.293270 [0009]  tmux: client[27253]                 2.734      0.001      0.168 
 4282978.293300 [0010]  <idle>                              0.081      0.000      0.107 
 4282978.293420 [0010]  bash[27252]                        16.489      0.032      0.119 
 4282978.293450 [0006]  <idle>                              0.009      0.000      0.268 
 4282978.293546 [0007]  <idle>                              0.458      0.000      7.917 
 4282978.293556 [0007]  bash[27161]                        17.139      0.029      0.010 
 4282978.293592 [0006]  bash[27248]                         0.268      0.035      0.142 
 4282978.293595 [0006]  <idle>                              0.142      0.000      0.002 
 4282978.293599 [0006]  kworker/6:2[19334]                 52.807      0.000      0.004 
 4282978.293616 [0007]  <idle>                              0.010      0.000      0.060 
 4282978.293708 [0009]  <idle>                              0.168      0.000      0.438 
 4282978.293721 [0007]  bash[27161]                         0.060      0.029      0.104 
 4282978.293829 [0008]  tmux: client[27275]                 0.032      0.000      0.800 
 4282978.293982 [0009]  bash[27276]                         0.000      0.002      0.273 
 4282978.294195 [0011]  <idle>                              0.115      0.000      5.305 
 4282978.294200 [0009]  bash[27277]                         0.000      0.019      0.217 
 4282978.294255 [0011]  bash[27278]                         0.000      0.030      0.060 
 4282978.294261 [0011]  migration/11[75]                   20.993      0.001      0.006 
 4282978.294289 [0008]  <idle>                              0.800      0.000      0.460 
 4282978.294829 [0010]  <idle>                              0.119      0.000      1.408 
 4282978.294832 [0010]  rcu_sched[8]                        7.994      0.040      0.003 
 4282978.295084 [0008]  tmux: client[27278]                 0.033      0.000      0.795 
 4282978.295816 [0001]  <idle>                              0.080      0.000      5.253 
 4282978.295890 [0002]  <idle>                              0.114      0.000      3.650 
 4282978.295900 [0002]  bash[27258]                        16.624      0.031      0.010 
 4282978.295954 [0001]  tmux: client[27260]                 5.253      0.028      0.138 
 4282978.295983 [0002]  <idle>                              0.010      0.000      0.082 
 4282978.295996 [0011]  <idle>                              0.066      0.000      1.734 
 4282978.296077 [0011]  tmux: client[27266]                 9.528      0.039      0.080 
 4282978.296100 [0002]  bash[27259]                        16.533      0.029      0.116 
 4282978.296102 [0002]  <idle>                              0.116      0.000      0.002 
 4282978.296106 [0002]  kworker/2:2[18313]                 19.846      0.000      0.003 
 4282978.296124 [0004]  <idle>                              0.142      0.000      3.716 
 4282978.296217 [0002]  <idle>                              0.003      0.000      0.110 
 4282978.296225 [0002]  bash[27225]                        17.141      0.028      0.008 
 4282978.296269 [0004]  bash[27258]                         0.223      0.030      0.144 
 4282978.296293 [0002]  <idle>                              0.008      0.000      0.067 
 4282978.296412 [0002]  bash[27225]                         0.067      0.029      0.119 
 4282978.296427 [0011]  <idle>                              0.080      0.000      0.350 
 4282978.296618 [0011]  bash[27279]                         0.000      0.029      0.191 
 4282978.296633 [0006]  <idle>                              0.004      0.000      3.033 
 4282978.296816 [0006]  bash[27280]                         0.000      0.029      0.183 
 4282978.296868 [0006]  bash[27281]                         0.000      0.032      0.052 
 4282978.296874 [0006]  migration/6[45]                    18.901      0.001      0.005 
 4282978.296901 [0002]  <idle>                              0.119      0.000      0.488 
 4282978.297133 [0010]  <idle>                              0.003      0.000      2.300 
 4282978.297203 [0000]  <idle>                              0.237      0.000      4.201 
 4282978.297213 [0000]  bash[27261]                        17.362      0.028      0.010 
 4282978.297272 [0010]  tmux: client[27263]                 3.940      0.028      0.138 
 4282978.297274 [0010]  <idle>                              0.138      0.000      0.002 
 4282978.297278 [0010]  kworker/10:2[18659]                 8.523      0.000      0.003 
 4282978.297303 [0000]  <idle>                              0.010      0.000      0.090 
 4282978.297421 [0000]  bash[27262]                        17.292      0.033      0.117 
 4282978.297445 [0001]  <idle>                              0.138      0.000      1.490 
 4282978.297542 [0011]  <idle>                              0.191      0.000      0.923 
 4282978.297551 [0011]  bash[27188]                        17.914      0.032      0.009 
 4282978.297587 [0001]  bash[27261]                         0.231      0.028      0.141 
 4282978.297590 [0001]  <idle>                              0.141      0.000      0.003 
