           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
 4282978.130233 [0005]  Xorg[1930]                          0.005      0.000      0.023 
 4282978.130236 [0005]  <idle>                              0.023      0.000      0.003 
 4282978.130237 [0008]  xclip[27062]                        0.019      0.000      0.006 
 4282978.130243 [0008]  <idle>                              0.006      0.000      0.005 
 4282978.130245 [0005]  Xorg[1930]                          0.003      0.000      0.008 
 4282978.130252 [0005]  <idle>                              0.008      0.000      0.006 
 4282978.130254 [0008]  xclip[27062]                        0.005      0.000      0.010 
 4282978.130263 [0005]  Xorg[1930]                          0.006      0.000      0.011 
 4282978.130288 [0007]  <idle>                              0.720      0.000      1.361 
 4282978.130305 [0005]  <idle>                              0.011      0.000      0.041 
 4282978.130308 [0007]  xclip[12460]                        0.000      0.028      0.020 
 4282978.130314 [0008]  <idle>                              0.010      0.000      0.060 
 4282978.130319 [0005]  Xorg[1930]                          0.041      0.000      0.013 
 4282978.130322 [0005]  <idle>                              0.013      0.000      0.003 
 4282978.130323 [0008]  xclip[27062]                        0.060      0.000      0.008 
 4282978.130327 [0008]  <idle>                              0.008      0.000      0.004 
 4282978.130330 [0005]  Xorg[1930]                          0.003      0.000      0.007 
 4282978.130334 [0005]  <idle>                              0.007      0.000      0.003 
 4282978.130334 [0008]  xclip[27062]                        0.004      0.000      0.006 
 4282978.130339 [0008]  <idle>                              0.006      0.000      0.004 
 4282978.130343 [0005]  Xorg[1930]                          0.003      0.000      0.009 
 4282978.130347 [0005]  <idle>                              0.009      0.000      0.003 
 4282978.130348 [0008]  xclip[27062]                        0.004      0.000      0.008 
 4282978.130353 [0008]  <idle>                              0.008      0.000      0.005 
 4282978.130358 [0005]  Xorg[1930]                          0.003      0.000      0.010 
 4282978.130364 [0005]  <idle>                              0.010      0.000      0.006 
 4282978.130365 [0008]  xclip[27062]                        0.005      0.000      0.011 
 4282978.130372 [0008]  <idle>                              0.011      0.000      0.007 
 4282978.130375 [0005]  Xorg[1930]                          0.006      0.000      0.011 
 4282978.130379 [0005]  <idle>                              0.011      0.000      0.003 
 4282978.130401 [0011]  <idle>                              0.338      0.000      0.856 
 4282978.130416 [0011]  cat[27066]                          0.856      0.003      0.014 
 4282978.130424 [0005]  Xorg[1930]                          0.003      0.000      0.044 
 4282978.130446 [0000]  <idle>                              0.480      0.000      1.162 
 4282978.130452 [0000]  base64[27065]                       1.162      0.033      0.005 
 4282978.130464 [0011]  <idle>                              0.014      0.000      0.048 
 4282978.130471 [0008]  xclip[27062]                        0.007      0.000      0.098 
 4282978.130474 [0008]  <idle>                              0.098      0.000      0.003 
 4282978.130479 [0008]  kworker/8:2[21666]                  0.000      0.000      0.004 
 4282978.130499 [0007]  <idle>                              0.020      0.000      0.190 
 4282978.130507 [0007]  bash[27061]                         1.571      0.028      0.008 
 4282978.130517 [0011]  cat[27066]                          0.048      0.001      0.052 
 4282978.130520 [0011]  <idle>                              0.052      0.000      0.002 
 4282978.130523 [0011]  kworker/11:3[610]                   0.000      0.000      0.003 
 4282978.130546 [0004]  <idle>                              0.550      0.000      1.336 
 4282978.130677 [0007]  <idle>                              0.008      0.000      0.169 
 4282978.130677 [0004]  bash[27063]                         1.336      0.030      0.131 
 4282978.130680 [0007]  bash[27061]                         0.169      0.000      0.003 
 4282978.130693 [0000]  <idle>                              0.005      0.000      0.241 
 4282978.130713 [0006]  <idle>                              0.372      0.000      2.307 
 4282978.130721 [0006]  bash[25449]                         2.307      0.001      0.007 
 4282978.130760 [0007]  <idle>                              0.003      0.000      0.079 
 4282978.130760 [0000]  base64[27065]                       0.241      0.024      0.067 
 4282978.130791 [0005]  <idle>                              0.044      0.000      0.367 
 4282978.130793 [0005]  rcu_sched[8]                       19.899      0.002      0.002 
 4282978.130924 [0007]  bash[27061]                         0.079      0.000      0.164 
 4282978.130949 [0006]  <idle>                              0.007      0.000      0.227 
 4282978.131059 [0002]  <idle>                              0.067      0.000      3.274 
 4282978.131110 [0006]  bash[25449]                         0.227      0.029      0.161 
 4282978.131374 [0002]  sleep[27067]                        0.000      0.003      0.314 
 4282978.136735 [0002]  <idle>                              0.314      0.000      5.361 
 4282978.136735 [0008]  <idle>                              0.004      0.000      6.256 
 4282978.136743 [0008]  fzf[18637/18636]                   10.078      0.002      0.007 
 4282978.136743 [0002]  fzf[4923/4922]                     10.078      0.002      0.007 
 4282978.137727 [0004]  <idle>                              0.131      0.000      7.049 
 4282978.137734 [0004]  nextword[10831/10830]              10.085      0.002      0.006 
